Ref,Val,Package,PosX,PosY,Rot,Side
"C59","100pF C0G","C_0805_2012Metric",41.000000,-158.950000,90.000000,top
"C60","100pF C0G","C_0805_2012Metric",41.000000,-179.720000,90.000000,top
"C61","100pF C0G","C_0805_2012Metric",41.000000,-186.720000,90.000000,top
"C62","2.2uF C0G","C_1206_3216Metric",45.000000,-40.950000,0.000000,top
"C63","2.2uF C0G","C_1206_3216Metric",45.000000,-47.950000,0.000000,top
"C64","2.2uF C0G","C_1206_3216Metric",45.000000,-68.640000,0.000000,top
"C65","2.2uF C0G","C_1206_3216Metric",45.000000,-75.640000,0.000000,top
"C66","2.2uF C0G","C_1206_3216Metric",45.000000,-96.320000,0.000000,top
"C67","2.2uF C0G","C_1206_3216Metric",45.000000,-103.320000,0.000000,top
"C68","2.2uF C0G","C_1206_3216Metric",45.000000,-124.140000,0.000000,top
"C69","2.2uF C0G","C_1206_3216Metric",45.000000,-131.140000,0.000000,top
"C70","2.2uF C0G","C_1206_3216Metric",45.000000,-151.950000,0.000000,top
"C71","2.2uF C0G","C_1206_3216Metric",45.000000,-158.950000,0.000000,top
"C72","2.2uF C0G","C_1206_3216Metric",45.000000,-179.720000,0.000000,top
"C73","2.2uF C0G","C_1206_3216Metric",45.000000,-186.720000,0.000000,top
"C74","10uF X5R","C_0805_2012Metric",72.000000,-132.640000,90.000000,top
"C75","10uF X5R","C_0805_2012Metric",72.000000,-160.450000,90.000000,top
"C76","10uF X5R","C_0805_2012Metric",72.000000,-188.220000,90.000000,top
"C77","10uF X5R","C_0805_2012Metric",82.000000,-32.000000,90.000000,top
"C78","10uF X5R","C_0805_2012Metric",121.000000,-28.000000,90.000000,top
"C79","10uF X5R","C_0805_2012Metric",135.000000,-22.000000,90.000000,top
"C80","10u","C_0805_2012Metric",68.000000,-22.000000,90.000000,top
"C81","22nF C0G","C_0402_1005Metric",135.000000,-26.000000,90.000000,top
"D1","SMBJ15CA","D_SMB",62.000000,-18.000000,0.000000,top
"D2","PESD5V0S1BL","D_SOD-323",101.000000,-40.950000,0.000000,top
"D3","PESD5V0S1BL","D_SOD-323",101.000000,-68.640000,0.000000,top
"D4","PESD5V0S1BL","D_SOD-323",101.000000,-96.320000,0.000000,top
"D5","PESD5V0S1BL","D_SOD-323",101.000000,-124.140000,0.000000,top
"D6","PESD5V0S1BL","D_SOD-323",101.000000,-151.950000,0.000000,top
"D7","PESD5V0S1BL","D_SOD-323",101.000000,-179.720000,0.000000,top
"D8","PESD5V0S1BL","D_SOD-323",33.000000,-40.950000,0.000000,top
"D9","PESD5V0S1BL","D_SOD-323",101.000000,-47.950000,0.000000,top
"D10","PESD5V0S1BL","D_SOD-323",33.000000,-47.950000,0.000000,top
"D11","PESD5V0S1BL","D_SOD-323",33.000000,-68.640000,0.000000,top
"D12","PESD5V0S1BL","D_SOD-323",101.000000,-75.640000,0.000000,top
"D13","PESD5V0S1BL","D_SOD-323",33.000000,-75.640000,0.000000,top
"D14","PESD5V0S1BL","D_SOD-323",33.000000,-96.320000,0.000000,top
"D15","PESD5V0S1BL","D_SOD-323",101.000000,-103.320000,0.000000,top
"D16","PESD5V0S1BL","D_SOD-323",33.000000,-103.320000,0.000000,top
"D17","PESD5V0S1BL","D_SOD-323",33.000000,-124.140000,0.000000,top
"D18","PESD5V0S1BL","D_SOD-323",101.000000,-131.140000,0.000000,top
"D19","PESD5V0S1BL","D_SOD-323",33.000000,-131.140000,0.000000,top
"D20","PESD5V0S1BL","D_SOD-323",33.000000,-151.950000,0.000000,top
"D21","PESD5V0S1BL","D_SOD-323",101.000000,-158.950000,0.000000,top
"D22","PESD5V0S1BL","D_SOD-323",33.000000,-158.950000,0.000000,top
"D23","PESD5V0S1BL","D_SOD-323",33.000000,-179.720000,0.000000,top
"D24","PESD5V0S1BL","D_SOD-323",101.000000,-186.720000,0.000000,top
"D25","PESD5V0S1BL","D_SOD-323",33.000000,-186.720000,0.000000,top
"FB1","BLM18PG221","L_0805_2012Metric",118.000000,-10.000000,0.000000,top
"FB2","BLM18PG221","L_0805_2012Metric",118.000000,-26.000000,0.000000,top
"J1","24V DC","BarrelJack_Horizontal",70.870000,-10.830000,-90.000000,top
"J2","REMOTE 3.5mm","Jack_3.5mm_Lumberg_1503_02_Horizontal",30.470000,-5.080000,0.000000,top
"J3","XLR_IN_1","Jack_XLR_Neutrik_NC3FBH2_Horizontal",12.580000,-44.450000,180.000000,top
"J4","XLR_IN_2","Jack_XLR_Neutrik_NC3FBH2_Horizontal",12.580000,-72.140000,180.000000,top
"J5","XLR_IN_3","Jack_XLR_Neutrik_NC3FBH2_Horizontal",12.580000,-99.820000,180.000000,top
